Id,Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor,Max Floor
5992,Студия,24.4,4 038 000,Комендантский  проспект,14.4,Приморский район,16.1,,7,19
5993,Студия,29.31,4 004 000,Комендантский  проспект,14.4,Приморский район,20.58,,17,19
5994,квартира,32.5,4 041 000,Проспект Просвещения,19.4,Приморский район,11.0,2.7,12,12
5995,квартира,32.5,4 089 000,Проспект Просвещения,19.4,Приморский район,11.0,2.7,8,12
5996,квартира,40.89,4 033 000,Проспект Просвещения,19.4,Приморский район,11.07,2.7,4,9
5997,квартира,30.32,4 034 000,Комендантский  проспект,14.4,Приморский район,13.96,2.75,6,24
5998,квартира,30.65,4 078 000,Комендантский  проспект,14.4,Приморский район,14.01,2.75,12,24
5999,квартира,34.2,4 001 000,Проспект Просвещения,19.4,Приморский район,13.3,2.7,6,9
6000,Студия,28.92,3 722 000,Комендантский  проспект,14.4,Приморский район,20.4,,18,19
6001,Студия,27.83,3 802 000,Комендантский  проспект,14.4,Приморский район,20.36,,17,19
6002,Студия,32.13,3 713 000,Проспект Просвещения,19.4,Приморский район,19.53,2.7,9,9
6003,Студия,28.05,3 610 000,Комендантский  проспект,14.4,Приморский район,19.72,,19,19
6004,Студия,28.4,3 515 000,Комендантский  проспект,14.4,Приморский район,20.38,,19,19
6005,Студия,28.08,3 475 000,Комендантский  проспект,14.4,Приморский район,20.41,,18,19
6006,Студия,32.13,3 650 000,Проспект Просвещения,19.4,Приморский район,19.53,2.7,8,9
6007,Студия,24.79,3 342 000,Проспект Просвещения,19.4,Приморский район,12.46,2.7,9,9
6008,Студия,26.0,3 326 000,Проспект Просвещения,19.4,Приморский район,18.7,,23,25
6009,Студия,26.0,3 300 000,Проспект Просвещения,19.4,Приморский район,18.7,,19,25
6010,Студия,24.1,3 049 000,Проспект Просвещения,19.4,Приморский район,10.4,2.7,10,12
6011,Студия,23.52,3 111 000,Комендантский  проспект,14.4,Приморский район,17.62,,22,24
6012,Студия,20.1,2 702 000,Проспект Просвещения,19.4,Приморский район,8.8,2.7,8,12
6013,Студия,22.5,2 891 000,Проспект Просвещения,19.4,Приморский район,10.4,2.7,8,12
6014,Студия,24.1,3 025 000,Проспект Просвещения,19.4,Приморский район,10.4,2.7,6,12
6015,Студия,24.1,3 025 000,Проспект Просвещения,19.4,Приморский район,10.4,2.7,9,12
6016,Студия,21.22,2 907 000,Комендантский  проспект,14.4,Приморский район,14.93,,8,24
6017,Студия,21.16,2 899 000,Комендантский  проспект,14.4,Приморский район,14.65,,10,24
6018,Студия,21.22,2 907 000,Комендантский  проспект,14.4,Приморский район,14.93,,5,24
6019,Студия,21.43,2 936 000,Комендантский  проспект,14.4,Приморский район,14.7,,20,24
6020,Студия,22.29,2 860 000,Комендантский  проспект,14.4,Приморский район,15.49,,1,24
6021,квартира,45.5,7 924 000,Комендантский  проспект,3.5,Приморский район,18.3,2.72,17,25
6022,Студия,24.0,2 650 000,Комендантский  проспект,3.3,Приморский район,16.0,,12,19
6023,Студия,28.1,3 200 000,Комендантский  проспект,3.1,Приморский район,20.1,,12,19
6024,квартира,41.0,4 890 000,Комендантский  проспект,3.4,Приморский район,20.73,2.64,15,17
6025,квартира,39.1,4 890 000,Комендантский  проспект,3.5,Приморский район,17.63,2.64,15,17
6026,Студия,23.52,2 980 000,Комендантский  проспект,3.8,Приморский район,17.62,,12,24
6027,квартира,38.8,4 355 000,Комендантский  проспект,2,Приморский район,17.6,2.7,7,10
6028,квартира,29.04,3 680 000,Комендантский  проспект,3.8,Приморский район,14.44,2.6,14,24
